primary_name,ra,dec,vmag
156668,17.29458,29.227226,8.43
156826,17.333209,-5.9175086,6.32
156846,17.342861,-19.333334,6.5
156985,17.29734,52.447114,7.95
157172,17.376268,-19.616181,7.86
157214,17.344324,32.467743,5.4
157261,17.367811,5.0009722,6.67
157299,17.378385,-6.3313206,8.16
157338,17.402429,-34.798448,6.921
157347,17.380913,-2.3881758,6.293
15745,2.5488278,37.33375,7.47
157466,17.374336,24.879833,6.88
157481,17.353656,46.150306,7.55
157719,17.435242,-28.543306,7.78
157881,17.429231,2.1114222,7.54
158038,17.429278,27.303472,7.47
15814,2.548375,15.034472,6.0
158173,17.480542,-26.729708,8.63
158210,17.451852,21.719582,8.02
158222,17.418983,53.132556,7.82
158259,17.423349,52.790684,6.46
158332,17.459625,26.794278,7.69
158449,17.485989,6.1484167,8.03
158614,17.506611,-1.0629133,5.31
158633,17.416694,67.306705,6.43
159062,17.504563,47.402203,7.22
159062B,17.504611,47.402222,nan
159063,17.531698,16.824013,6.997
159222,17.533609,34.271147,6.56
159798,17.603869,9.7157222,7.37
159868,17.649868,-43.145514,7.24
159909,17.613969,10.574556,7.28
160013,17.615473,19.922346,8.5
160215,17.608817,44.723222,8.18
160247,17.640364,12.737333,7.49
160269,17.583221,61.874554,5.24
160346,17.654728,3.5554722,6.53
160371,17.682931,-32.214444,6.01
1605,0.34208864,30.974804,7.52
160693,17.660242,37.183754,8.36
161424,17.750119,13.024766,7.62
161479,17.750813,19.290462,8.14
161480,17.759333,5.7155556,nan
161555,17.7755,-7.9853056,7.35
161587,17.773578,1.0443611,6.64
16160,2.6013594,6.8868703,5.82
161622,17.7745,5.3966667,nan
16175,2.6172056,42.062722,7.28
16178,2.6033222,15.148806,8.36
161797,17.774313,27.720676,3.41
161848,17.795025,4.9396453,8.91
161897,17.685194,72.420343,7.61
162003,17.698975,72.1495,4.57
162004,17.699456,72.157583,5.81
162007,17.812175,1.1641944,8.9
162020,17.843983,-40.318278,9.1
162030,17.83264,-24.206972,7.0
162231,17.819942,20.197139,8.16
162232,17.832515,0.51203361,8.59
16249,2.6021594,-10.918832,9.78
162587,17.889853,-34.895111,5.58
16270,2.6002,-23.521361,8.34
16275,2.6182349,12.901898,8.65
162808,17.873776,11.99137,8.39
162826,17.853897,40.072444,6.55
16287,2.6116006,-3.1561397,8.11
16297,2.6021758,-28.218604,8.37
163102,17.908283,-3.4621111,7.32
163153,17.91602,-7.7339433,6.92
163489,17.93664,4.8335889,7.83
163528,17.900203,49.795056,8.37
163589,17.911128,45.554132,7.68
163607,17.894582,56.391958,8.0
163675,17.943839,18.612417,6.55
163840,17.953983,23.995722,6.32
16397,2.6410729,30.816626,7.34
16417,2.6162834,-34.577332,5.78
164213,17.973819,36.874639,7.33
164259,18.008033,-3.6901667,4.62
164330,17.938917,62.610067,7.72
164507,18.015909,15.09355,6.292
164509,18.025341,0.10455639,8.1
164595,18.010804,29.571922,7.08
164604,18.051933,-28.560556,9.62
164651,18.038301,0.1041925,7.66
164922,18.041906,26.313001,6.99
165045,18.067188,1.8323978,8.11
165109,18.032683,47.885111,7.3
165173,18.073986,6.4363933,7.96
165222,18.085439,-3.0313194,9.37
165269,18.103822,-27.492689,7.29
165341B,18.090973,2.4989445,6.2
165360,18.100433,-8.1088056,7.09
165401,18.093738,4.6571728,6.8
165438,18.104197,-4.7511667,5.74
16548,2.6501806,-8.92775,6.98
16909,2.7224028,19.429278,8.23
169822,18.436167,8.7786944,7.83
169830,18.463745,-29.816865,5.911
16984,2.7300472,12.029722,8.22
169889,18.439427,8.6157639,8.32
170003,18.4298,35.342778,7.22
1701-00642-1,22.744875,17.905077,9.71
170174,18.465204,6.6001,8.31
17037,2.7335722,-6.0093611,7.07
170469,18.486384,11.695502,8.22
170493,18.497891,-1.8181036,8.05
170512,18.491013,7.3597408,7.77
170657,18.521933,-18.908812,6.82
17075,2.7930724,64.68532,8.57
170778,18.484425,43.939287,7.5
170829,18.511567,20.815694,6.49
171010,18.524261,22.985889,7.41
171028,18.537625,6.9455556,nan
171067,18.53624,13.736565,7.2
171238,18.578798,-28.072313,8.61
171264,18.561297,4.5923889,8.09
171314,18.554964,22.315389,8.9
17152,2.7413833,-24.415028,8.39
17156,2.8290243,71.753232,8.17
171665,18.620233,-25.671266,7.46
17190,2.7708909,25.649899,7.81
171918,18.628507,-7.3367028,7.99
171999,18.633025,-6.8045,8.34
172043,18.598531,43.055611,7.25
172051,18.648167,-21.051871,5.866
17230,2.771466,11.77524,8.57
172310,18.637808,28.925421,8.42
172310B,18.637808,28.925421,8.42
172365,18.660244,5.2642778,6.36
172513,18.700655,-34.466335,7.94
172649,18.661699,37.993091,7.51
17311,2.7755194,-8.0280278,8.21
17332A,2.7909306,19.372222,6.9
17354,2.7624526,-39.717054,7.78
173667,18.761036,20.547111,4.19
173701,18.743088,43.833276,7.52
173739,18.712968,59.630396,8.91
173740,18.713028,59.626847,9.69
173760,18.749328,44.359028,8.32
173818,18.790903,-3.6398308,8.81
17382,2.8025397,27.068632,7.56
174080,18.808118,10.74545,7.99
17433,2.8121056,31.115611,6.94
174457,18.833889,15.311194,7.52
17449,2.7904556,-17.556278,9.48
174622,18.828789,36.676408,8.28
174719,18.863451,3.0310222,7.51
174809,18.844455,39.340167,7.28
174912,18.856928,38.626472,7.15
175317,18.925283,-16.376194,5.56
175425,18.893921,37.985246,7.9
175441,18.860585,60.434113,8.32
175541,18.928023,4.2653247,8.03
175726,18.943658,4.2653333,6.71
175742,18.931452,23.55661,8.29
176029,18.966736,5.9110833,9.22
176051,18.950447,32.901272,5.25
17620,2.8154972,-24.609806,8.17
176303,18.984925,13.622556,5.27
18131,2.9107806,-5.3307778,7.32
181342,19.351183,-23.6195,7.55
181420,19.340842,-1.3098889,6.57
18143,2.927516,26.873217,7.58
18144,2.9214667,16.309306,7.41
1815,0.37318611,-27.031611,8.3
181655,19.327501,37.330555,6.29
181720,19.381367,-32.918056,7.84
182189,19.289531,71.347018,7.07
182407,19.406391,5.5644497,7.77
182488,19.392781,33.221966,6.361
182572,19.416167,11.944416,5.16
182619,19.411632,22.201526,7.81
18262,2.9371472,8.3817778,5.97
182736,19.400917,44.933444,7.01
182756,19.408428,40.32325,0.0
183162,19.464367,8.9694719,8.06
1832,0.38339144,22.375001,7.62
183216,19.494612,-30.797777,7.1
183255,19.440436,49.463583,8.01
183263,19.473492,8.3580542,7.86
183298,19.439466,50.987251,8.2
183341,19.479553,11.027056,7.45
183473,19.465883,42.77625,7.88
1835,0.38105231,-12.209438,6.38
183650,19.48929,31.608656,6.96
183658,19.514644,-6.5144233,7.28
183756,19.508817,12.817028,6.91
183870,19.535196,-11.274942,7.57
18436A,2.9427435,-39.446259,7.9
18436B,2.9427435,-39.446259,7.9
184385,19.557098,21.840329,6.89
184400,19.532211,48.592028,8.51
18445,2.9536633,-24.97512,7.78
184489,19.577647,4.58175,9.35
184860,19.612725,-10.442778,8.38
184962,19.606383,15.892194,7.12
185144,19.539331,69.661176,4.7
185269,19.619933,28.500056,6.67
185295,19.637764,5.0071444,8.65
185351,19.610569,44.695194,5.17
1854,0.37963333,-35.386364,nan
185414,19.598781,56.983901,6.73
185501,19.633118,33.893274,7.51
185720,19.679189,-7.5121944,6.97
186104,19.708267,1.586525,7.64
186306,19.696014,43.747639,0.0
18632,3.0007814,7.7497517,7.97
186408,19.696932,50.52506,5.96
186427,19.69777,50.517523,6.2
18645,2.9981056,-0.67966667,7.86
18667,3.0022694,0.23544444,8.34
186704,19.765917,4.2485,7.02
186858,19.759314,33.601997,7.68
186932,19.777173,17.802926,8.1
187013,19.773772,33.728694,5.0
18702,3.0100271,5.9860633,8.11
187091,19.770978,43.947583,8.37
187123,19.782809,34.419524,7.86
187237,19.800245,27.86953,6.88
18742,3.0029639,-20.802556,7.81
187460,19.817497,29.882861,8.27
18747,3.0160512,5.2879372,8.4
18752,3.0214728,14.982244,7.78
18757,3.0693433,61.705826,6.67
187601,19.845619,1.7638889,nan
187637,19.821683,41.582889,7.53
187691,19.850456,10.415722,5.1
187748,19.804291,59.422902,6.64
187760,19.874972,-23.949083,9.45
188268,19.904154,1.9434217,8.78
188298,19.924941,-29.096998,8.46
188311,19.907151,1.94138,8.93
188345,19.899918,20.009601,7.97
188376,19.930655,-26.299506,4.7
188386,19.913272,5.7028333,8.15
188510,19.919355,10.740941,8.82
188512,19.921887,6.4067633,3.71
188807,19.955472,-12.56675,9.29
189067,19.955514,24.088472,7.19
18907,3.0270694,-28.090472,5.88
189087,19.953728,29.824015,7.91
18916,3.0735916,50.032372,7.99
189186,19.975725,7.9206389,6.77
18940,3.0579389,23.061472,7.09
189561,20.023289,-22.737278,6.01
189625,20.025778,-16.868997,7.35
189627,20.027274,-22.110867,8.11
189733,20.012143,22.710853,7.67
18975,3.0504971,-2.0864825,7.51
18993,3.0832703,46.584958,8.299
18SCO,16.260353,-8.3694444,nan
190007,20.046401,3.3261883,7.48
190067,20.042821,15.592075,7.16
19019,3.0641152,6.1332978,6.76
190228,20.050215,28.306857,7.307
19034,3.0608219,-5.6662997,8.09
190360,20.06039,29.896806,5.71
190404,20.06448,23.340686,7.28
190406,20.068396,17.070173,5.8
190412,20.079615,1.1559989,7.69
190470,20.069458,25.790228,7.767
19056,3.0925136,45.087977,8.87
190571,20.073208,33.550556,7.47
190594,20.092676,3.5027675,8.35
190771,20.086052,38.478458,6.17
190821,20.127605,-20.83283,8.3
190931,20.140599,-28.899068,9.63
191022,20.094586,48.566806,7.44
191067,20.133819,-0.67802778,5.97
191089,20.15145,-26.224064,7.2
191359,20.145269,22.153528,7.03
191391,20.172183,-20.492528,8.91
191408,20.186649,-36.101213,5.32
191499,20.159529,16.805763,7.515
191785,20.185021,16.188,7.33
191957,20.228219,-34.118444,6.66
192020,20.19031,38.400144,7.97
192148,20.22507,-1.2116731,8.53
193216,20.281872,50.279278,8.15
193342,20.283494,56.904722,8.07
193391,20.327028,13.010806,8.23
193664,20.291842,66.852972,5.91
193690,20.375373,-26.15989,9.37
193728,20.374382,-19.781307,8.51
19373,3.1511166,49.613277,4.05
193795,20.354231,28.106837,8.5
193901,20.393291,-21.370617,8.67
194035,20.379189,19.850083,7.13
194080,20.401859,-13.398616,7.71
194110,20.379731,31.549556,7.21
194322,20.425242,-14.123919,nan
194541,20.417783,32.468528,7.51
19467,3.1218264,-13.761783,7.0
194765,20.457656,-2.1029167,6.71
194766,20.457492,-2.1193611,7.49
194913,20.459448,19.618193,7.96
195019,20.471843,18.769497,6.91
195019B,20.471787,18.77073,10.2
19502,3.1750853,56.627711,8.607
195034,20.469949,22.128993,7.1
195104,20.486581,4.4565278,7.08
19522,3.1336639,-12.041444,8.11
1955-00658-1,9.3059759,27.311539,9.68
195564,20.539915,-9.8533836,5.65
195787,20.509606,58.2875,7.63
195824,20.560311,1.26925,8.06
195987,20.547678,41.898478,7.08
196124,20.586863,6.1270144,8.91
19617,3.1693889,18.345722,8.69
19618,3.1665917,15.373917,9.06
196199,20.584114,23.710459,7.77
196201,20.590619,11.357128,8.51
19632,3.1479015,-24.887648,7.28
19638,3.1656644,6.7048219,8.16
19659,3.1451355,-35.4329,7.11
196603,20.583175,63.474722,nan
196645,20.639125,13.331194,7.8
196676,20.651628,-4.9295,6.46
196761,20.669932,-23.773868,6.37
196850,20.644497,38.635093,6.78
196885,20.664403,11.249444,6.39
197076,20.679206,19.935536,6.45
197162,20.676906,37.397444,8.01
197214,20.721119,-29.423417,6.95
197286,20.736172,-39.225246,9.54
197623,20.749198,0.29194528,7.55
197711,20.769342,-21.745111,7.82
19773,3.178705,-6.5260044,8.07
197964,20.777644,16.124778,4.27
198060,20.79165,9.8642778,7.72
198089,20.79385,12.986167,7.43
198387,20.798045,52.407167,6.27
198425,20.821176,32.284787,8.25
198483,20.829556,25.770917,7.67
198550,20.836266,29.384109,8.32
198599,20.863137,-10.317261,7.49
198683,20.861989,12.035552,8.06
198802,20.884888,-11.573659,6.391
198864,20.887292,2.45,8.63
199019,20.824817,71.774788,8.21
19902,3.2174083,32.896611,8.15
199086,20.917602,-7.1786792,7.81
199100,20.894939,36.13025,7.78
199255,20.929747,7.6664167,7.37
199260,20.946472,-26.296389,5.4
199305,20.888831,62.15439,8.54
199381,20.946514,1.7156667,6.89
199476,20.862485,74.780328,7.77
1995-00486-1,13.112861,27.338884,10.745
199580,20.946625,42.895111,7.21
199598,20.961022,26.405079,6.9
1996-00035-1,13.22637,28.647665,9.736
1996-00233-1,13.312637,28.151178,9.699
1996-00432-1,13.213779,27.353678,9.51
1996-00491-1,13.136671,27.187675,10.471
1996-01046-1,13.135631,28.788782,10.023
1996-01282-1,13.299552,28.065397,9.425
1996-01423-1,13.165841,28.804609,8.714
1996-01712-1,13.167493,26.907497,10.392
19961,3.2486111,56.304917,8.57
199683,20.990078,-20.444409,8.18
199918,21.020414,-35.183944,7.68
19994,3.212899,-1.1961011,5.07
199960,21.0094,-4.7302614,6.214
200078,21.0121,17.447987,8.05
200081,21.022894,-2.5139722,7.95
200156,21.031225,-4.6660278,8.76
200491,21.048861,28.984889,7.73
200538,21.084698,-32.82617,7.74
200560,21.044655,45.884769,7.68
200565,21.068248,3.9806797,8.42
200625,21.104757,-48.526312,7.26
200746,21.085542,7.9456667,7.97
200779,21.088806,7.0706667,8.27
200964,21.111053,3.803,6.48
200968,21.11955,-13.92293,7.1
2009IG,2.6365556,-1.3125,nan
201091,21.114984,38.749416,5.21
201092,21.115351,38.742056,6.03
201203,21.143593,-21.683041,7.9
201219,21.132367,7.4329431,8.02
201378,21.155336,-3.8925278,7.62
